id fam grp bmi smoke edu height cardio menarche
112064 11064 mes 3.08702e-07 -4.27587e-05 7.44444e-06 -1.90064e-05 9.71104e-05 -1.3844e-05
112066 11066 mes 2.90765e-06 -5.2691e-05 3.41407e-06 -2.07798e-05 3.95798e-05 -2.40707e-05
112068 11068 mes 1.23572e-06 -6.67384e-05 9.27758e-06 -3.52831e-05 3.51305e-05 -2.14815e-05
112069 11069 mes 1.41775e-06 -5.44671e-05 1.58956e-06 -3.69974e-05 4.22755e-05 -2.91e-05
112070 11070 mes 5.52602e-06 -3.56062e-05 3.16081e-06 -3.95974e-05 5.50098e-05 -2.77427e-05
112071 11071 mes 2.03667e-06 -5.29165e-05 2.0695e-06 -2.70645e-05 4.02662e-05 -2.07754e-05
112072 11072 mes 6.06819e-06 -5.54805e-05 3.62907e-06 -3.9109e-05 3.6089e-05 -2.59343e-05
112073 11073 mes 4.42223e-06 -3.90037e-05 1.05642e-05 -3.67838e-05 5.42697e-05 -1.16505e-05
112074 11074 mes 1.88373e-06 -4.82956e-05 5.73167e-06 -4.23231e-05 3.2612e-05 -1.82891e-05
112075 11075 mes -2.20477e-06 -2.66558e-05 6.49196e-06 -3.59658e-05 1.44658e-05 -3.43536e-06
112076 11076 mes -5.3232e-06 -3.64083e-05 -4.44099e-06 -2.77218e-05 6.50066e-05 -1.98059e-05
112077 11077 mes 1.05194e-05 -2.89874e-05 1.49805e-06 -4.10435e-05 2.58676e-05 -1.14824e-05
112078 11078 mes 6.41511e-06 -6.40726e-08 6.34429e-06 -3.21408e-05 5.83909e-05 -4.85136e-06
112079 11079 mes -1.59779e-06 -5.11415e-05 5.64704e-06 -3.981e-05 1.83377e-05 -1.53649e-05
112080 11080 mes 5.92415e-06 -5.08257e-05 2.99556e-06 -3.94731e-05 5.6249e-05 -1.427e-05
112081 11081 mes 5.77426e-06 -6.79673e-05 -5.62646e-06 -3.45912e-05 3.82942e-05 -2.82014e-05
112082 11082 mes 2.30179e-06 -4.864e-05 7.64313e-06 -3.39783e-05 4.1989e-05 -1.47701e-05
121038 12038 mes 8.39004e-06 -2.47135e-05 4.11562e-06 -3.03353e-05 4.28721e-05 -7.71007e-06
121039 12039 mes 6.13614e-06 -1.72332e-05 -1.69729e-06 -3.53098e-05 7.6e-05 -1.92497e-05
121040 12040 mes 8.88422e-06 -2.1531e-05 5.90589e-06 -2.89821e-05 3.46288e-05 -4.04437e-05
121041 12041 mes -3.9212e-06 -4.05378e-05 5.7001e-06 -3.96446e-05 4.73683e-05 -1.16205e-05
121042 12042 mes 1.16156e-05 -4.04309e-05 4.524e-06 -4.80144e-05 3.72077e-05 -1.93728e-05
121043 12043 mes 9.39246e-06 -5.78682e-05 5.91326e-06 -3.07827e-05 7.11656e-05 -1.644e-05
121044 12044 mes 9.59699e-06 -6.41588e-05 -3.87305e-06 -3.05967e-05 2.45466e-05 -2.4018e-05
121050 12050 mes -6.94616e-06 -1.68959e-05 1.12966e-05 -3.28258e-05 7.97808e-05 -1.66704e-05
121062 12062 mes 1.6913e-06 -6.06094e-05 6.68176e-06 -3.54747e-05 1.49635e-05 -8.37153e-06
121064 12064 mes 1.26192e-06 -8.66063e-05 1.14819e-05 -4.39225e-05 6.2289e-05 -2.11024e-05
